document_number,raw_text_url,president,publication_date,title,topics
 95-28630,https://www.federalregister.gov/documents/full_text/text/1995/11/21/95-28630.txt,identifier; william-j-clinton; name; William J. Clinton,11/21/1995,"Further Amendment to Executive Order No. 12852, as Amended",""
 95-30106,https://www.federalregister.gov/documents/full_text/text/1995/12/08/95-30106.txt,identifier; william-j-clinton; name; William J. Clinton,12/08/1995,Administration of Export Controls,""
 95-30451,https://www.federalregister.gov/documents/full_text/text/1995/12/12/95-30451.txt,identifier; william-j-clinton; name; William J. Clinton,12/12/1995,Ordering the Selected Reserve of the Armed Forces to Active Duty,""
 95-31437,https://www.federalregister.gov/documents/full_text/text/1995/12/27/95-31437.txt,identifier; william-j-clinton; name; William J. Clinton,12/27/1995,Amendment to Executive Order No. 12871,""
 95-31595,https://www.federalregister.gov/documents/full_text/text/1996/01/03/95-31595.txt,identifier; william-j-clinton; name; William J. Clinton,01/03/1996,Adjustments of Certain Rates of Pay and Allowances,""
 96-622,https://www.federalregister.gov/documents/full_text/text/1996/01/18/96-622.txt,identifier; william-j-clinton; name; William J. Clinton,01/18/1996,Establishing the Armed Forces Service Medal,""
 96-955,https://www.federalregister.gov/documents/full_text/text/1996/01/22/96-955.txt,identifier; william-j-clinton; name; William J. Clinton,01/22/1996,International Union for Conservation of Nature and Natural Resources,""
 96-2407,https://www.federalregister.gov/documents/full_text/text/1996/02/02/96-2407.txt,identifier; william-j-clinton; name; William J. Clinton,02/02/1996,Amendment to Executive Order No. 12964,""
 96-2755,https://www.federalregister.gov/documents/full_text/text/1996/02/09/96-2755.txt,identifier; william-j-clinton; name; William J. Clinton,02/09/1996,Civilian Health and Medical Program of the Uniformed Services (CHAMPUS),""
 96-3646,https://www.federalregister.gov/documents/full_text/text/1996/02/15/96-3646.txt,identifier; william-j-clinton; name; William J. Clinton,02/15/1996,Economy and Efficiency in Government Procurement Through Compliance With Certain Immigration and Naturalization Act Provisions,""
 96-5263,https://www.federalregister.gov/documents/full_text/text/1996/03/05/96-5263.txt,identifier; william-j-clinton; name; William J. Clinton,03/05/1996,"Adjustments of Rates of Pay and Allowances for the Uniformed Services, Amendment to Executive Order No. 12984",""
 96-5832,https://www.federalregister.gov/documents/full_text/text/1996/03/08/96-5832.txt,identifier; william-j-clinton; name; William J. Clinton,03/08/1996,Adding the Small Business Administration to the President's Export Council,""
 96-6803,https://www.federalregister.gov/documents/full_text/text/1996/03/19/96-6803.txt,identifier; william-j-clinton; name; William J. Clinton,03/19/1996,President's Council on Counter-Narcotics,""
 96-7460,https://www.federalregister.gov/documents/full_text/text/1996/03/26/96-7460.txt,identifier; william-j-clinton; name; William J. Clinton,03/26/1996,Administrative Allegations Against Inspectors General,""
 96-7461,https://www.federalregister.gov/documents/full_text/text/1996/03/26/96-7461.txt,identifier; william-j-clinton; name; William J. Clinton,03/26/1996,Continuing the President's Committee on Mental Retardation and Broadening Its Membership and Responsibilities,""
 96-7773,https://www.federalregister.gov/documents/full_text/text/1996/03/28/96-7773.txt,identifier; william-j-clinton; name; William J. Clinton,03/28/1996,Amendment to Executive Order No. 12873,""
 96-7774,https://www.federalregister.gov/documents/full_text/text/1996/03/28/96-7774.txt,identifier; william-j-clinton; name; William J. Clinton,03/28/1996,Management and General Public Use of the National Wildlife Refuge System,""
